Clave,Proyecto,Alias,Sector,Subsector,Tipo de inversión,Moneda del contrato,Inversión (Millones MXN),Inversión (Millones USD),Alcances del contrato,Participación Banobras/Fonadin,Descripción,Tipo de proyecto,Tipo de contrato,Plazo de contrato,Proceso de selección,Registro de Unidad de Inversiones o equivalente,Anuncio/ Convocatoria,Recepción de propuestas,Fallo,Firma contrato,Inicio de ejecución/construcción,Inicio de operación,Término de la vigencia del contrato,Etapa,Subetapa,Nombre del adjudicatario del contrato,Empresas asociadas al adjudicatario,Estado(s),Entidad responsable,�?rea responsable,Observaciones,URL,Activo,Cantidad,Medida,Calidad,Activo 2,Cantidad 2,Medida 2,Calidad 2,Activo 3,Cantidad 3,Medida 3,Calidad 3,Activo 4,Cantidad 4,Medida 4,Calidad 4,Sostenibilidad
" Gerencia de Operación de Contratos y Asociaciones Región Norte""","La fecha efectiva para iniciar el periodo primario, el cual consiste en la entrega física de pozos e instalaciones, es a partir del 1ro de agosto de 2023 y contempla una duración de 3 meses. El monto de inversión corresponde únicamente a la inversión de capital del proyecto. No considera los costos de operación ni de abandono que serán erogados por el Prestador de Servicios. Paridad peso/dólar 20.3",https://www.proyectosmexico.gob.mx/proyecto_inversion/0915-csiee-cuitlahuac/,Pozos Terrestres,,,,Yacimiento,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0914 Modelo Integral de Movilidad de la Zona Sur del Área Metropolitana de Guadalajara (Línea 4),"diseño, proyecto ejecutivo, construcción, equipamiento y operación del MODELO INTEGRAL DE MOVILIDAD DE LA ZONA SUR DEL ÁREA METROPOLITANA DE GUADALAJARA (LÍNEA 4), en el estado de jalisco.",Transporte,Movilidad Urbana,Greenfield,Pesos mexicanos MXN,9725,472,"Diseño,Construcción,Equipamiento,Operación",Si,"Proyecto APP, modalidad coinversión hasta por 38 años: Diseño, proyecto ejecutivo, construcción, equipamiento y operación de un sistema de transporte masivo de tipo tren eléctrico urbano, a desarrollar dentro de la vía general de comunicación ferroviaria, correspondiente a la línea I, entre Guadalajara y Tlajomulco de Zúñiga, dentro del derecho de vía concesionado, entre el km I-266+500 y el km I-287+667, teniendo una longitud aproximada de 21.16 kilómetros. Características principales: • Origen: Las Juntas en los límites de Guadalajara y San Pedro Tlaquepaque; • Destino: Tlajomulco de Zúñiga; • Operador de la línea: SITEUR (Sistema de Tren Eléctrico Urbano); • Demanda exclusiva transporte público: 117 mil/viajes/día (actualización 2022); • Crecimiento de la demanda por encima del AMG: TMCA (1990-2015) = 7.20%; • Trazado: o Vía de pasajeros: doble y nueva. Las vías deberán ser paralelas a la vía de carga y desplantarse dentro del derecho de vía existente. Riel de 115 lb/yd, pendiente de 1% máximo y radio de curvatura mínimo en línea de 286.48 m. o Vía carga: única y existente. o Tipo de vía: trocha compatible con regulación con ley reglamentaria del servicio ferroviario. • Estaciones: 8 • Alimentación de Energía: o Capacidad eléctrica de CFE: 60 Megavolt amperios Mva; o Subestaciones de tracción: 6 y 7 de 2.15-2.5 Mw (dependiendo si la catenaria suministra 750 o 1500 Vcd); o Demanda para CFE estimada: 6 Mw; • Centro de control: En patio y talleres de la línea 4 que se ubicará en la cabecera municipal del municipio de Tlajomulco de Zúñiga. • Recaudo: integración con el sistema de recaudo Mi Transporte. • Señalización: red de fibra óptica, redundancia con radiocomunicación, telefonía directa (Pbx), sistema de información al pasajero, sistemas de señalización y control de trenes digitales, MDF (site principal), red de acceso (cableado horizontal) IDF's en estaciones, sistema de video vigilancia (CCTV), sistema de voceo en estaciones. Realización en dos periodos y tres etapas. PRIMER CONVENIO MODIFICATORIO (18/11/2022). SEGUNDO CONVENIO MODIFICATORIO (09/01/2023). TERCER CONVENIO MODIFICATORIO (10/04/2023). (*)Proyecto con participación financiera o apoyo de Banobras y/o Fonadin.",Público / Privado,APP Estatal,38 Años,Licitación Pública Nacional,,16/08/2022,21/09/2022,05/10/2022,25/10/2022,25/10/2022,25/10/2024,,Ejecución,,"Mota-Engil México, Consorcio Tren Ligero Línea 4 Guadalajara","Mota-Engil, SGPS, S.A., Consorcio Tren Ligero Línea 4 Guadalajara",Jalisco,Gobierno Estatal,Comité Estatal de Adjudicación de Proyectos,,,,,,,,,,,,,,,,,,,
 Sistema de Tren Eléctrico Urbano (SITEUR)," Jalisco""","La licitación de este proyecto de coinversión es derivada de la aceptación del Gobierno del Estado de Jalisco de una Propuesta No Solicitada (PNS) presentada por Mota-Engil México, S.A.P.I. de C.V. a SITEUR.",https://www.proyectosmexico.gob.mx/proyecto_inversion/0914-modelo-integral-de-movilidad-amg-linea-4/,Vía doble electrificada,21.16,km,,Tren eléctrico,12,,,Estaciones,8,,,Sistema de Control y Recaudo,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0913 Autopista Atlacomulco-Polotitlán,"Diseño, Construcción, Operación, Mantenimiento, Conservación y Explotación de la Autopista Atlacomulco-Polotitlán, en el Estado de México.",Transporte,Carreteras / Puentes,Greenfield,Pesos mexicanos MXN,,,"Diseño,Construcción,Operación,Mantenimiento,Conservación,Explotación",,"El proyecto consiste en el diseño, construcción, operación, conservación, mantenimiento y explotación de la Autopista ""Atlacomulco-Polotitlán"" tipo A-4, con ancho de corona de 22 metros, contará con 4 carriles de circulación, dos por sentido, de 3.5 metros de ancho, acotamientos exteriores de 3.0 metros de ancho, acotamientos internos de 1.0 metro y barrera separadora de sentidos. Incluye la construcción de 4 entronques a desnivel e incorpora 1 paso de Ferrocarril, 11 puentes y 3 viaductos, iniciando el trazo en la carretera federal Toluca – Polotitlán a la altura de la localidad de San Francisco y concluye en Polotitlán con entronque en la Autopista México - Querétaro, con una longitud total de 82.80 kilómetros, incidiendo en los municipios de Atlacomulco, Acambay, Aculco, Ixtlahuaca, en el Estado de México.",Público / Privado,Concesión Estatal,30 Años,Licitación Pública Internacional,,09/08/2022,14/09/2022,23/09/2022,05/10/2022,,,,Ejecución,Actividades Previas,"Controladora de Operaciones de Infraestructura, ICA Infraestructura",Empresas Ingenieros Civiles Asociados,Estado de México,Gobierno Estatal,Secretaría de Movilidad,,,,,,,,,,,,,,,,,,,
 Sistema de Autopistas, Aeropuertos," Servicios Conexos y Auxiliares del Estado de México.""","El proyecto tiene origen en la presentación de la Propuesta No Solicitada promovida por Controladora de Operaciones de Infraestructura, S.A. de C.V., mediante escrito de fecha 20 de diciembre de 2021 recibido en la fecha antes señalada.",https://www.proyectosmexico.gob.mx/proyecto_inversion/0913-autopista-atlacomulco-polotitlan/,Carretera,82.8,km,A4,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0912 Ampliación de la PTAR “El Ahogado”,"DISEÑO, CONSTRUCCIÓN, EQUIPAMIENTO, OPERACIÓN, CONSERVACIÓN Y MANTENIMIENTO DE LA AMPLIACIÓN DE LA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES ""EL AHOGADO"", EN EL ESTADO DE JALISCO.",Agua y Medio Ambiente,Saneamiento de Agua,Greenfield,Pesos mexicanos MXN,1157,56,"Diseño,Construcción,Equipamiento,Operación,Mantenimiento,Conservación",,"La Ampliación de la PTAR “El Ahogado” comprende el diseño, construcción, equipamiento electromecánico, pruebas de funcionamiento, pruebas de capacidad, operación, conservación y mantenimiento de la infraestructura necesaria para ampliar el tratamiento biológico con remoción de nutrientes en un caudal de diseño de 1,000 litros por segundo (l/s). Incluye también la filtración y desinfección con ozono de un caudal de 3,250 litros por segundo (l/s), correspondientes a los 2,250 litros por segundo (l/s) que actualmente se tratan en la PTAR “El Ahogado” y los 1,000 litros por segundo (l/s) de la ampliación; así como la remoción y disposición final de los biosólidos y sólidos que se generen en el monorrelleno.",Público / Privado,APP Estatal,20 Años,Licitación Pública Nacional,,04/08/2022,14/09/2022,05/10/2022,25/10/2022,,,,Ejecución,Actividades Previas,Mitsui & Co. Infrastructure Solutions,"Mitsui & Co., LTD",Jalisco,Gobierno Estatal,Comisión Estatal del Agua del Estado de Jalisco,,https://www.proyectosmexico.gob.mx/proyecto_inversion/0912-ampliacion-de-la-ptar-el-ahogado/,Planta de Tratamiento de Aguas Residuales,1000,litros por segundo (l/s),,,,,,,,,,,,,,Si
,0911 Puerto de Servicios para la Industria Offshore en el Estado de Veracruz,CONSTRUCCIÓN Y HABILITACIÓN DE UN PUERTO DE SERVICIOS PARA LA INDUSTRIA OFFSHORE EN EL ESTADO DE VERACRUZ,Transporte,Puertos,Greenfield,Pesos mexicanos MXN,5600,272,"Construcción,Equipamiento,Operación,Explotación",,"El proyecto consta de la habilitación de siete muelles marginales con una longitud total de 1,100 m de largo por 20 m de ancho, además de tres muelles en espigón (perpendiculares a los muelles marginales) con 20 m de ancho por 150 m de longitud, confinados con tablestaca de acero. La capacidad de esta infraestructura está considerada para recibir embarcaciones de hasta 81.30 m de eslora y 16.0 m de manga. Un desarrollo portuario que brindará servicios para proyectos de la industria costa afuera, como un elemento logístico-estratégico dentro de la cadena de negocios de las empresas del sector petróleo y energía. Infraestructura portuaria básica con recursos públicos, adecuación y equipamiento con recursos privados. Se considera desarrollar en 52.1 hectáreas, apróximadamente. Adicionalmente se construirán y concesionarán diversas secciones: de contenedores, de fluidos, de carga general, astillero, patios de carga y/o almacenamiento.",Público / Privado,Cesión Parcial de Derechos,,Licitación Pública Internacional,,,,,,,,,Preinversión,Estudios,,,Veracruz,Gobierno Estatal,API Sistema Portuario Veracruzano,"Se encuentra en etapa de elaboración de estudios de factibilidad a nivel anteproyecto. En proceso de elaboración de estudios preliminares necesarios para el desarrollo del proyecto ejecutivo (batimetría, físico-financiero, plan estratégico y de negocios, etc.).",https://www.proyectosmexico.gob.mx/proyecto_inversion/0911-puerto-de-servicios-para-la-industria-offshore-en-el-estado-de-veracruz/,Terminal Portuaria,,,,Muelles marginales,,,,Muelles en espigón,,,,,,,,
,"0910 Terminal de Cruceros en Ensenada, Baja California","diseño, construcción, equipamiento, instalación, operación, mantenimiento y explotación de una TERMINAL DE CRUCEROS CON ACTIVIDADES TURÍSTICAS COMERCIALES EN ENSENADA, EN EL ESTADO DE BAJA CALIFORNIA.",Transporte,Puertos,Greenfield,Pesos mexicanos MXN,892,43,"Diseño,Construcción,Equipamiento,Instalación,Operación,Mantenimiento,Explotación",,"Construcción, operación y explotación de un desarrollo turístico que es parte del proyecto denominado “Ventana al Mar"", que incluye una Terminal de Cruceros con áreas comerciales y de servicios turísticos con una superficie total de 14.3 ha, que contaría con dos muelles para recibir cruceros de hasta 350 metros de eslora, consolidándose con esto la 6ª posición de atraque para este sector turístico en el Puerto de Ensenada.",Público / Privado,Cesión Parcial de Derechos,,Licitación Pública Internacional,,,,,,,,,Preinversión,Estudios,,,Baja California,Secretaría de Marina,Coordinación General de Puertos y Marina Mercante,,,,,,,,,,,,,,,,,,,
" Administración del Sistema Portuario Nacional Ensenada""","El proyecto se encuentra en etapa de diseño, se están realizando estudios de factibilidad. Es un proyecto identificado para el impulso del desarrollo turístico mediante el arribo de más cruceros a través del incremento de una posición de atraque, impulsando el turismo en la región y en la generación de empleos directos e indirectos.",https://www.proyectosmexico.gob.mx/proyecto_inversion/0910-terminal-de-cruceros-en-ensenada-baja-california/,Muelle,,,,Instalación Portuaria,,,,Terminal Portuaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0909 Autopista Cuapiaxtla-Cuacnopalan,"CONSTRUCCIÓN, OPERACIÓN, EXPLOTACIÓN, CONSERVACIÓN Y MANTENIMIENTO DE LA CARRETERA DENOMINADA CUAPIAXTLA - CUACNOPALAN, CON ORIGEN EN EL ENTRONQUE DE CUAPIAXTLA II, EN EL ESTADO DE PUEBLA.",Transporte,Carreteras / Puentes,Greenfield,Pesos mexicanos MXN,2500,121,"Diseño,Construcción,Operación,Mantenimiento,Conservación,Explotación",Si,"Construir, operar, explotar, conservar y mantener la carretera tipo A2 con altas especificaciones de jurisdicción estatal, denominada Cuapiaxtla - Cuacnopalan, de 63.66 km aproximadamente de longitud, con el origen en el entronque Cuapiaxtla II, ubicado en el km. 39.340 de la Autopista de Cuota Amozoc - Perote y con terminación en el km 203.500 de la Autopista Puebla - Orizaba, en los estados de Puebla y Tlaxcala, por un plazo de 30 años, según el título de concesión original de fecha 23/12/2011. Reexpresión del título (22/01/2014). Se reexpresa el título con objeto de actualizar plazos. Actualización de plazos. Operar, conservar y mantener el Tramo I de la Autopista A2 Cuapiaxtla - Límite de Estado, de 3.498 km; operar, conservar, explotar y mantener el Tramo II de la Autopista A2 Límite de Estado - Entronque El Seco, de 22.701 km; construir, operar, conservar, explotar y mantener el Tramo III de la Autopista A2 Entronque El Seco - Cuacnopalan, de 37.461 km, de acuerdo a la primera modificación del título de concesión de fecha 18/09/2018. Segunda modificación (10/09/2020). Se actualiza el modelo financiero. i) Rehabilitación del tramo Cuapiaxtla-Entronque Audi-El Seco, de 26.16 km. ii) Construcción del tramo El Seco-Cuacnopalan de 37.5 km. (*) Proyecto con participación financiera o apoyo de Banobras y/o Fondo Nacional de Infraestructura (Fonadin).",Público / Privado,Concesión Estatal,30 Años,,,,,,10/09/2020,01/09/2021,,01/09/2051,Ejecución,,Concesionaria CUA,,"Puebla,Tlaxcala",Gobierno Estatal,Carreteras de Cuota Puebla,,https://www.proyectosmexico.gob.mx/proyecto_inversion/0909-autopista-cuapiaxtla-cuacnopalan/,Carretera,63.66,km,A2,,,,,,,,,,,,,Si
,"0908 C-MRO “Autopista Tepic-Compostela” y “Autopista Jala-Compostela-Las Varas y Ramal a Compostela”, tramo “Compostela-Las Varas”","CONSTRUCCIÓN, MANTENIMIENTO, REHABILITACIÓN Y OPERACIÓN DE LA ""AUTOPISTA TEPIC-COMPOSTELA"" y DEL SEGMENTO 2, TRAMO ""COMPOSTELA-LAS VARAS"" DE LA ""AUTOPISTA JALA-COMPOSTELA-LAS VARAS Y RAMAL A COMPOSTELA"", EN EL ESTADO DE NAYARIT.",Transporte,Carreteras / Puentes,Greenfield,Pesos mexicanos MXN,4915,239,"Construcción,Operación,Mantenimiento",Si,"El proyecto consiste en la construcción, mantenimiento, rehabilitación y operación bajo estándares de desempeño de 55.4 km de carreteras: i) Construcción, mantenimiento, rehabilitación y operación de la ""Autopista Tepic-Compostela"", de aproximadamente 26 km tipo A2 ii) Construcción (continuación y conclusión de la construcción), mantenimiento, rehabilitación y operación del subsegmento B del segmento 2 ""Compostela-Las Varas"", de la ""Autopista Jala-Compostela-Las Varas y Ramal a Compostela"", incluye el Entronque El Capomo, de aproximadamente 18.3 km tipo A4, del km 65+074 al km 83+400 de dicha autopista iii) Mantenimiento, rehabilitación y operación del subsegmento A del segmento 2 ""Compostela-Las Varas"", de la ""Autopista Jala-Compostela-Las Varas y Ramal a Compostela"", de aproximadamente 11 km tipo A4, del km 54+000 al km 65+074 de dicha autopista. Actualmente el subsegmento A del segmento 2 ""Compostela-Las Varas"" de la ""Autopista Jala-Compostela-Las Varas y Ramal a Compostela"" se encuentra en construcción y no forma parte del proyecto. Estas carreteras pertenecen al título de concesión otorgado por la Secretaría de Infraestructura, Comunicaciones y Transportes al Fondo Nacional de Infraestructura. (*) Proyecto con participación financiera o apoyo de Banobras y/o Fondo Nacional de Infraestructura (Fonadin).",Público / Privado,APP Federal,10 Años,Licitación Pública Internacional,28/01/2022,03/02/2022,28/04/2022,16/06/2022,13/07/2022,10/08/2022,jun-24,2032,Ejecución,,Mota-Engil México,Mota-Engil,Nayarit,BANOBRAS/Fiduciario FONADIN,Dirección General Adjunta Fiduciaria,"En junio de 2023 se concluyó la construcción del subsegmento A del segmento 2, del tramo Compostela-Las Varas.",https://www.proyectosmexico.gob.mx/proyecto_inversion/0908-autopista-tepic-compostela-y-autopista-jala-compostela-las-varas-y-ramal-a-compostela-tramo-compostela-las-varas/,Carretera,55.4,km,,,,,,,,,,,,,,Si
,"0907 Construcción de la Presa Tunal II en Durango, Dgo.","diseño, construcción, ampliación, equipamiento, instalación, operación, mantenimiento Y EXPLOTACIÓN de la presa tunal ii y obras complementarias para el abastecimiento de agua potable para la ciudad de Durango, en el estado de durango.",Agua y Medio Ambiente,Abastecimiento de Agua,Greenfield,Pesos mexicanos MXN,3894,189,"Diseño,Construcción,Ampliación,Equipamiento,Instalación,Operación,Mantenimiento,Explotación",,"El proyecto integral consiste en el diseño, construcción, ampliación, equipamiento, instalación, operación, mantenimiento y explotación de la Presa Tunal II, una planta potabilizadora, un acueducto y obras complementarias para llevar agua a la ciudad de Durango, Durango. La presa suministrará agua superficial, junto con la Presa Guadalupe Victoria, y a futuro, con la Presa Santiago Bayacora, a través de una obra de toma a la planta de bombeo que conducirá este recurso por una línea a presión hasta la planta potabilizadora para su tratamiento, y de ahí se transportará por la línea a gravedad hasta los macrotanques gemelos ubicados en el Cerro de los Remedios, para comenzar su distribución al acuaférico y a la red de agua de la ciudad. El acuaférico, a su vez, contempla la construcción de 14 tanques de regulación y almacenamiento, de los cuales se han construido 11. A la fecha está pendiente la construcción de los macrotanques Nororiente, Mercado y Contreras. El macrotanque El Conejo está construido, pero no se encuentra en servicio.",Público / Privado,– ND –,24 Años,Licitación Pública Internacional,07/11/2019,2023,,,,,,,Preinversión,Estudios,,,Durango,Gobierno Estatal,Comisión del Agua del Estado de Durango,,,,,,,,,,,,,,,,,,,
" Directora General""","La Ciudad de Durango se abastece de agua a través de la extracción subterránea de 97 pozos profundos, que se suministra mediante tanques de almacenamiento a la red de distribución local. El acuífero Valle del Guadiana de donde se extrae dicha agua, está en veda de explotación, con abatimiento promedio de 1.5 m/anuales (Disponibilidad por Acuíferos CONAGUA Dic. 2020). Asociado a esto se presentan concentraciones en arsénico y flúor por encima de lo permitido por la modificación a la NOM-127-SSA1-1994. El plazo de contrato considera 4 años de construcción y 20 de operación.",https://www.proyectosmexico.gob.mx/proyecto_inversion/0907-construccion-de-la-presa-tunal-ii-en-durango-dgo/,Presa,126,hm3/año,,Acueducto,9,km,,Planta Potabilizadora de Agua,2750,litros por segundo (l/s),,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0905 Autopista Conexión Oriente,"DISEÑO, CONSTRUCCIÓN, OPERACIÓN, MANTENIMIENTO, CONSERVACIÓN Y EXPLOTACIÓN DE LA AUTOPISTA CONEXIÓN ORIENTE, EN EL ESTADO DE MÉXICO.",Transporte,Carreteras / Puentes,Greenfield,Pesos mexicanos MXN,3300,160,"Diseño,Construcción,Operación,Mantenimiento,Conservación,Explotación",Si,"El proyecto consiste en el diseño, construcción, operación, mantenimiento, conservación y explotación de la autopista urbana de cuota ""Conexión Oriente"" tipo A4 de 6.8 km aproximadamente, la cual está diseñada como una mejora vial para la zona de influencia del Anillo Periférico en el tramo que va desde la Calzada Ignacio Zaragoza a la Carretera Peñón-Texcoco, en los límites territoriales del Estado de México y la Ciudad de México. La autopista constará de 2 tramos operativos: * Tramo A: desde la Carretera Peñón-Texcoco a la Av. Bordo Xochiaca, de 3.3 km aproximadamente, de los cuales 1.1 km corresponden a un viaducto elevado, 1.6 km a nivel y el resto a intervenciones a calles laterales. * Tramo B: desde la Av. Bordo de Xochiaca a la Calzada Ignacio Zaragoza, de 3.5 km aproximadamente de viaducto elevado, excepto por 600 m antes de conectar con la Calzada Ignacio Zaragoza, en los cuales se hacen intervenciones a las calles laterales. Esta autopista tiene la finalidad de unir con fluidez la zona Norte del Valle de México con el Centro y Sur de la Ciudad de México, facilitando además la movilidad entre el Aeropuerto Internacional Felipe Ángeles (AIFA) y el Aeropuerto Internacional de la Ciudad de México (AICM). (*) Proyecto con participación financiera o apoyo de Banobras y/o Fondo Nacional de Infraestructura (Fonadin).",Público / Privado,Concesión Estatal,30 Años,Licitación Pública Internacional,,15/02/2021,05/04/2021,20/04/2021,29/04/2021,1er Semestre 2023,,,Ejecución,,Gami Ingeniería e Instalaciones,Grupo Indi,Estado de México,Gobierno Estatal,"Sistema de Autopistas, Aeropuertos, Servicios Conexos y Auxiliares del Estado de México.","El Proyecto tiene origen en la presentación de la PNS (propuesta no solicitada) promovida por ""Gami Ingeniería e Instalaciones, S.A. de C.V."", mediante escrito de fecha 7 de enero de 2021 recibido en la fecha antes señalada.",https://www.proyectosmexico.gob.mx/proyecto_inversion/0905-autopista-conexion-oriente/,Carretera,6.8,km,A4,,,,,,,,,,,,,Si
,"0904 Sistema Intermunicipal de Gestión Integral de Residuos Sólidos Urbanos en la Región de La Ciénega, Michoacán","diseño, CONSTRUCCIÓN, equipamiento, OPERACIÓN y MANTENIMIENTO DE UN CENTRO PARA LA GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS urbanos en la Región de La Ciénega, en el estado de Michoacán.",Agua y Medio Ambiente,Residuos Sólidos,Greenfield,Pesos mexicanos MXN,442,21,"Diseño,Construcción,Equipamiento,Operación,Mantenimiento",,"El objetivo del Proyecto es lograr un manejo integral de residuos sólidos de los municipios de Cojumatlán de Régules, Sahuayo, Jiquilpan, Villamar y Venustiano Carranza en el Estado de Michoacán, mediante un sistema de recolección y traslado eficiente, el aprovechamiento y valorización de los residuos comercializables y reduciendo en la medida de lo posible la cantidad de residuos que se destinarán al Relleno Sanitario Regional. Para alcanzar lo anterior, se contemplan los siguientes componentes: i. Adquisición de Vehículos de Recolección y Traslado ii. Construcción y equipamiento de una Estación de Transferencia iii. Construcción y equipamiento de un Planta de Separación con la finalidad de comercializar los residuos valorizables. iv. Construcción de un Relleno Sanitario Regional v. Clausura de 5 Rellenos Sanitarios. El Proyecto considera 21 años, de los cuales un año corresponde al periodo de construcción y 20 años al periodo de operación. Lo anterior, con la finalidad de dar un adecuado manejo a las 204 toneladas diarias de residuos que actualmente se generan en la región de La Ciénega.",Público / Privado,APP Federal,21 Años,Licitación Pública Internacional,2016,12/10/2021,11/11/2021,18/11/2021,31/12/2021,,,,Licitación,Formalización,"Transilmex Inc, Operadora de Ferrocarril y Manejo de Rellenos, Constructora Eunice y JSM Recycle",,Michoacán,Gobierno Municipal,Organismo Público Descentralizado Intermunicipal de La Ciénega,,https://www.proyectosmexico.gob.mx/proyecto_inversion/0904-girsu-la-cienega/,Planta de Tratamiento de Residuos Sólidos,,,,,,,,,,,,,,,,Si
,0902 Corredor Ferroviario García-Aeropuerto Internacional de Monterrey,"DISEÑO, CONSTRUCCIÓN, OPERACIÓN Y CONSERVACIÓN DEL CORREDOR FERROVIARIO GARCÍA-AEROPUERTO INTERNACIONAL DE MONTERREY, EN EL ESTADO DE NUEVO LEóN.",Transporte,Ferrocarriles,Greenfield,Pesos mexicanos MXN,24522,"1,190","Diseño,Construcción,Operación,Conservación",,"El proyecto consiste en construir un proyecto integral de desarrollo urbano a través de la reorganización del corredor ferroviario existente en el Área Metropolitana de Monterrey. El trayecto abarca un recorrido aproximado de 62 kilómetros cruzando los municipios de Apodaca, Monterrey, San Nicolás, San Pedro Garza García, Santa Catarina y García; en un corredor confinado con tráfico mixto (carga/pasajeros). El proyecto aprovechará la infraestructura existente con el objetivo de ofrecer un servicio de transporte completo que beneficiará a aproximadamente 164 mil pasajeros diarios y que pueda servir de eje troncal de desarrollo y ordenamiento territorial.",Público / Privado,APP Federal,35 Años,Licitación Pública Internacional,27/08/2020,,,,,,dic-24,,Preinversión,Estudios,,,Nuevo León,"Secretaría de Infraestructura, Comunicaciones y Transportes",Dirección General de Desarrollo Ferroviario y Multimodal,,https://www.proyectosmexico.gob.mx/proyecto_inversion/0902-corredor-ferroviario-garcia-aeropuerto-internacional-de-monterrey/,Vía férrea,,,,,,,,,,,,,,,,Si
,0901 Autopista Interserrana: Conexión de la Carretera Matehuala-Saltillo con la Carretera Cd. Victoria-Monterrey,"CONSTRUCCIÓN, MODERNIZACIÓN, OPERACIÓN, MANTENIMIENTO, conservación Y EXPLOTACIÓN DE LA AUTOPISTA INTERSERRANA, CONEXIÓN DE LA CARRETERA MATEHUALA-SALTILLO CON LA CARRETERA CD. VICTORIA-MONTERREY, EN LOS ESTADOS DE SAN LUIS POTOSÍ, COAHUILA Y NUEVO LEÓN.",Transporte,Carreteras / Puentes,Greenfield,Pesos mexicanos MXN,,,"Construcción,Modernización,Operación,Mantenimiento,Conservación,Explotación",,"El proyecto consiste en la construcción, reconstrucción, modernización y ampliación de una carretera de altas especificaciones tipo A4, de acuerdo a la normatividad vigente de la Secretaría de Infraestructura, Comunicaciones y Transportes (SICT), con cuatro carriles de 3.5 m cada uno, dos por sentido, acotamientos exteriores de 2.5 m cada uno y separación entre sentidos de 1 m; con una longitud total de 87 km, para conectar la Carretera MEX-085 Ciudad Victoria-Monterrey con la Carretera MEX-057 Matehuala-Entronque Puerto México. La Carretera Interserrana contempla los siguientes componentes: - Tramo 1 (15 km): Modernización desde el entronque con la Carretera Federal MEX-085 hasta el comienzo de la zona interserrana. - Tramo 2 (38 km): Construcción nueva en sierra de 32 km, 43 puentes, 2 túneles, 4 estabilizaciones, 4 rampas de emergencia y 4 paraderos turísticos. Desde el comienzo hasta la terminación de la zona interserrana. Este tramo considera participación privada. - Tramo 3 (34 km): Reconstrucción y ampliación desde la terminación de la zona interserrana hasta el entronque con la Carretera Federal MEX-057. • Sub tramo 3 A : 18 km Carretero y 3 entronques viales. • Sub tramo 3 B : 14 km Carretero y un paso sobre río.",Público / Privado,,,Licitación Pública,,,,,,19/09/2022,14/05/2024,,Ejecución,,,,Nuevo León,Gobierno Estatal,Gobierno de Nuevo León,,,,,,,,,,,,,,,,,,,
" Secretaría de Movilidad y Planeación Urbana""",Se estima que el tramo 1 termine su construcción el 01 de febrero de 2024. Se estima que el tramo 2 termine su construcción el 01 de febrero de 2024 (Septiembre de 2023: En elaboración de proyecto ejecutivo). Se estima que el tramo 3A termine su construcción el 29 de febrero del 2024. Se estima que el tramo 3B termine su construcción el 14 de mayo del 2024.,https://www.proyectosmexico.gob.mx/proyecto_inversion/0901-autopista-interserrana-conexion-de-la-carretera-matehuala-saltillo-con-la-carretera-cd-victoria-monterrey/,Carretera,87,km,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
