Clave de Cartera,Número de solicitud,Nombre de PPI,Descripción de PPI,Clave Tipo de PPI,Tipo de PPI,Entidad Federativa,Descripción de Entidad,Total,Anteriores,ANIO_1,ANIO_2,ANIO_3,ANIO_4,ANIO_5,Posteriores,Monto Asignado,Ramo,Descripción de Ramo,Unidad,Descripción de Unidad,Fecha de Inicio,Fecha Fin,Fase descripción,Monto Calendario Fiscal 2022,Monto Calendario Propios 2022
'11096360008,31182,Maruata - Caleta de Campos.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,16,MICHOACAN,2142588717,20555205,222518866,222518866,222518866,0,0,0,0,9,Comunicaciones y Transportes,636,Centro SCT Michoacán,01/04/2011,31/12/2022,Vigente,1454476914,0
'12096360024,31237,E.C. (El Copetiro - Tancítaro) - Apúndaro - Pareo.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,16,MICHOACAN,68878557,16885614,24012443,51717,0,3916340,0,0,0,9,Comunicaciones y Transportes,636,Centro SCT Michoacán,01/04/2012,31/12/2022,Vigente,24012443,0
'11096270043,31404,"Nuevo Huixtán - Nuevo Momón, Tr: Nuevo Huixtán - Bélgica",Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,7,CHIAPAS,205211658,0,61163555,21720992,0,0,0,61163556,0,9,Comunicaciones y Transportes,627,Centro SCT Chiapas,01/01/2012,31/12/2023,Vigente,61163555,0
'1109J3E0012,31606,Distribuidor Vial JT en el Nuevo Acceso a la Zona Portuaria.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,30,VERACRUZ,296737460,24240506,88377924,173542105,0,0,0,0,0,13,Marina,J3E,"Administración Portuaria Integral de Veracruz, S.A. de C.V.",01/08/2011,31/12/2022,En Proceso de Modificación,0,10576925
'1109J3E0010,31608,Sistemas de Agua y Saneamiento en la Zona Norte del puerto,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,30,VERACRUZ,164328314,77328315,32137427,32137427,0,0,0,0,0,13,Marina,J3E,"Administración Portuaria Integral de Veracruz, S.A. de C.V.",01/08/2011,31/12/2022,En Proceso de Modificación,0,22725145
'1109J3E0011,31633,Centro de Atención Logística al Transporte.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,30,VERACRUZ,292602235,117057244,69095468,46599269,0,18866697,34709550,0,0,13,Marina,J3E,"Administración Portuaria Integral de Veracruz, S.A. de C.V.",01/08/2011,31/12/2022,En Proceso de Modificación,0,6274007
'1118T4O0013,32404,Modernización del sistema de red contraincendio del Complejo Petroquimico Cangrejera,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,30,VERACRUZ,930597597,490100203,120000000,2112219,17316486,189847333,79250450,0,21872187,52,Petróleos Mexicanos,T9M,Pemex Transformación Industrial,01/01/2012,31/12/2022,Vigente,0,31970906
'1109J3E0008,32444,Nueva aduana del Puerto de Veracruz,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,30,VERACRUZ,1513128297,352093749,296336389,288061726,177262999,281413088,67592667,0,0,13,Marina,J3E,"Administración Portuaria Integral de Veracruz, S.A. de C.V.",01/07/2011,31/12/2022,En Proceso de Modificación,0,50367679
'1109A000003,32717,Proyecto de ampliación del edificio para la segunda fase del Laboratorio de Ingeniería de Puertos y Costas,Proyecto de Inversión de Infraestructura Social,2,Proyecto de Inversión de Infraestructura Social,22,QUERETARO,879909369,105249714,316306833,0,507233,39139175,62581021,146366948,0,9,Comunicaciones y Transportes,A00,Instituto Mexicano del Transporte,01/04/2012,31/12/2023,Vigente,209758445,0
'12096220002,32751,Guadalupe Victoria - Batáquez.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,2,BAJA CALIFORNIA,446776671,112426262,103433295,124119954,0,0,0,0,0,9,Comunicaciones y Transportes,622,Centro SCT Baja California,01/01/2012,31/12/2022,Vigente,106797160,0
'11096500018,33819,Ozuluama-Tampico,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,2129319862,367429351,255480238,88401,4380649,145698175,87287716,718955332,250000000,9,Comunicaciones y Transportes,650,Centro SCT Veracruz,01/01/2012,31/12/2024,Vigente,550000000,0
'1118T4L0006,33853,Proyecto de adquisición de 2 plataformas autoelevables,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,10445121843,3215632700,766946644,859383826,865408995,894060615,925470388,1931409952,977687416,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/01/2012,31/12/2025,Vigente,0,986808723
'12096470009,34651,"VILLAHERMOSA - TEAPA, Tr. Villahermosa-Teapa Distribuidor Guayabal km 2+500",Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,27,TABASCO,564261598,11692236,225363035,31029988,0,88028216,0,48184415,0,9,Comunicaciones y Transportes,647,Centro SCT Tabasco,01/05/2012,31/12/2023,Vigente,159963708,0
'1218T4L0001,35200,Adquisición de 2 Equipos Modulares de Perforación,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,3939400348,897841776,20290685,638780,10966143,2254707,2932408,2994649686,8000000,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/04/2012,31/12/2026,Vigente,0,9826163
'1218T4M0009,35263,Transporte de gas natural de Jáltipan a la Refinería de Salina Cruz.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,3516404692,3317881722,184882720,0,0,0,13547582,0,0,52,Petróleos Mexicanos,T9K,Pemex Logística,01/05/2012,31/12/2022,Vigente,0,92668
'12096360021,35267,San José Cayaco - Hacienda Vieja.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,16,MICHOACAN,132283907,0,60581986,0,0,11119934,0,0,0,9,Comunicaciones y Transportes,636,Centro SCT Michoacán,01/04/2012,31/12/2022,Vigente,60581987,0
'1218T4M0010,35295,Mantenimiento de la capacidad de producción de la refinería de Cadereyta (2013-2015),Programa de Inversión de Mantenimiento,7,Programa de Inversión de Mantenimiento,19,NUEVO LEON,11689627015,8301361489,19517752,0,1224062959,1266912884,854514441,0,23257490,52,Petróleos Mexicanos,T9M,Pemex Transformación Industrial,01/06/2012,31/12/2022,Vigente,0,23257490
'1218T4L0017,35313,Proyecto Tsimin Xux,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,1.5989E+11,93120042669,2993411071,3031172453,3856905213,4258167769,7050074984,38689370172,6019472967,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/01/2013,31/12/2048,Vigente,0,6890442248
'1218T4L0024,35321,Proyecto Lankahuasa,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,3955211829,423856230,7894568,31130448,87163281,88914868,46895416,3137586449,24347,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/01/2013,31/12/2030,Vigente,0,131770569
'1218T4L0021,35323,Proyecto Crudo Ligero Marino,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,1.52753E+11,74184814873,4203553851,4244427353,8772436325,10117253698,7528726967,29491607576,10350311787,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/01/2013,31/12/2040,Vigente,0,14210188045
'1218T4L0025,35325,Proyecto Integral Veracruz,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,91547378602,20593134127,7532873543,4944411270,4194710845,4088028350,2263890379,37686472818,10047110012,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/01/2013,31/12/2034,Vigente,0,10243857270
'1218T4L0022,35339,Proyecto Integral Cuenca de Macuspana,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,9705821198,5289876015,266133324,254551867,312505965,337036387,598776178,2039432495,497847919,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/01/2013,31/12/2029,Vigente,0,607508967
'1218T4L0027,35341,Proyecto Costero Terrestre,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,12787328917,3266903451,169420971,316433567,485719365,573646891,186423748,7414187751,213729622,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/01/2013,31/12/2036,Vigente,0,374593173
'1218T4L0018,35343,Proyecto Ogarrio - Sánchez Magallanes,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,76766365187,37978569019,5798839997,3442401287,3575388258,4100010811,3195909224,10128949626,7635647260,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/01/2013,31/12/2032,Vigente,0,8546296965
'1218T4M0014,35371,Mantenimiento estratégico GAR Pacífico,Programa de Inversión de Mantenimiento,7,Programa de Inversión de Mantenimiento,35,NACIONAL,512917380,203618787,249766950,0,571408,16095194,18695546,0,0,52,Petróleos Mexicanos,T9K,Pemex Logística,01/01/2013,31/12/2022,Vigente,0,24169495
'12132160002,35407,Adquisición de aviones versión Transporte Militar y carga,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,9,CIUDAD DE MÉXICO,2257664232,221729196,157057874,157048327,162322311,168439550,169049302,1064948997,108490000,13,Marina,216,Dirección General de Servicios Generales e Hidrográficos,01/05/2012,31/12/2029,Vigente,157068675,0
'1218T4O0028,35891,Arrendamiento financiero con opción a compra de buque-tanque para transporte marítimo de amoniaco anhidro,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,1718525834,6004038,115515614,925962749,0,0,0,555527819,0,52,Petróleos Mexicanos,T9M,Pemex Transformación Industrial,01/01/2013,31/12/2027,Vigente,0,115515614
'12071320003,35953,Adquisición de una Aeronave de Transporte Estratégico para uso Presidencial y del Estado Mayor.,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,9,CIUDAD DE MÉXICO,5584952242,813486353,460271727,462131127,463885381,465544762,458553814,2002776120,331390000,7,Defensa Nacional,132,Comandancia de la Fuerza Aérea Mexicana,01/08/2012,31/12/2027,Vigente,458302958,0
'1218T4O0026,36040,Mantenimiento de la capacidad de produccion de áreas de servicios auxiliares del Complejo Petroquimico Morelos,Programa de Inversión de Mantenimiento,7,Programa de Inversión de Mantenimiento,30,VERACRUZ,315705490,184456754,27124757,0,0,20036956,4087024,0,0,52,Petróleos Mexicanos,T9M,Pemex Transformación Industrial,01/01/2013,31/12/2022,Vigente,0,79999999
'1218T4L0026,36190,Proyecto Ixtal-Manik,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,45980440941,17762306419,3586730385,2197597313,4040085709,3692528606,3971979745,6908234660,3279247861,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/01/2013,31/12/2034,Vigente,0,3820978104
'12096230004,37276,"La Paz-Ciudad Insurgentes, Tramo: km. 15+000 al Km. 209+000",Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,3,BAJA CALIFORNIA SUR,3375035336,927102406,418774556,385314420,321374269,127468280,84510162,581386934,0,9,Comunicaciones y Transportes,623,Centro SCT Baja California Sur,01/01/2013,31/12/2023,Vigente,529104309,0
'1218T4M0030,37286,"Sustitución de los buques tanque Nuevo Pemex I, II, III y IV mediante adquisición y/o arrendamiento financiero",Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,30,VERACRUZ,3444446797,1300394639,379217292,382275601,359992759,371705718,386904502,148752613,114149306,52,Petróleos Mexicanos,T9K,Pemex Logística,01/09/2012,31/12/2023,Vigente,0,115203673
'1218T4L0028,37375,Proyecto Aceite y Gas en Lutitas,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,16605668789,1981084985,68961591,307714675,1652815779,520734154,416898406,0,11657349866,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/01/2013,31/12/2022,Vigente,0,11657459199
'12096330030,37494,Construcción de la Carretera Real del Monte - Ent. Huasca,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,13,HIDALGO,2553366156,0,0,0,0,1366156,0,1330739624,611300000,9,Comunicaciones y Transportes,633,Centro SCT Hidalgo,01/01/2013,31/12/2023,Vigente,611332376,0
'13096250007,38260,Ampliación de la carretera  Zacatecas-Saltillo del  Km. 333+000 al Km. 343+400,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,5,COAHUILA DE ZARAGOZA,304704962,47564898,3000000,30085802,34159732,37504381,0,0,100000000,9,Comunicaciones y Transportes,625,Centro SCT Coahuila,01/01/2015,31/12/2022,Vigente,152390149,0
'1318T4L0011,38479,Adquisición de nueve equipos de perforación terrestres,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,3871528252,1078541207,328671091,411843386,380787293,392751826,409886604,434523434,431257094,52,Petróleos Mexicanos,T9G,Pemex Exploración y Producción,01/07/2013,31/12/2023,Vigente,0,434523411
'13132110005,39010,Construcción de Embarcaciones Interceptoras,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,34,NO DISTRIBUIBLE GEOGRAFICAMENTE,897904623,85633573,63308053,63308053,18635044,32475834,2732443,0,0,13,Marina,211,Dirección General de Construcciones Navales,01/01/2014,31/12/2022,Vigente,631811623,0
'1318T4O0009,39021,Mantenimiento de la capacidad de producción de la planta VII de Amoniaco y sus Servicios auxiliares del Complejo Petroquímico Cosoleacaque,Programa de Inversión de Mantenimiento,7,Programa de Inversión de Mantenimiento,30,VERACRUZ,1108254676,172250845,29311335,17555932,5508862,24771333,5683554,0,121022949,52,Petróleos Mexicanos,T9M,Pemex Transformación Industrial,01/01/2014,31/12/2022,Vigente,0,853172815
'13093110008,39118,Construir el Tren Interurbano México-Toluca. Primera Etapa.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,9; 15,CIUDAD DE MÉXICO; ESTADO DE MEXICO,99909432881,23775094483,8251356110,4391291353,6076380599,17988322020,22072046148,7504309329,7000000000,9,Comunicaciones y Transportes,311,Dirección General de Desarrollo Ferroviario y Multimodal,01/12/2013,31/12/2023,Vigente,7000000000,0
'14093110018,39287,"Libramiento Ferroviario de Culiacán, Sinaloa.",Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,25,SINALOA,2089728888,0,571520984,1393964212,0,0,0,0,0,9,Comunicaciones y Transportes,311,Dirección General de Desarrollo Ferroviario y Multimodal,01/04/2015,31/12/2022,En Proceso de Modificación,124243692,0
'1318T4O0010,39297,"Rehabilitación de la planta de Amoniaco No. IV, integración y sus servicios auxiliares del Complejo Petroquímico Cosoleacaque",Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,30,VERACRUZ,2953342569,2009262664,0,11484832,0,11832139,118634332,0,10266500,52,Petróleos Mexicanos,T9M,Pemex Transformación Industrial,01/08/2013,31/12/2022,Vigente,0,802128602
'13132160020,39322,Construcción de instalaciones para las Unidades y Brigadas de Construcción,Proyecto de Inversión de Infraestructura Gubernamental,3,Proyecto de Inversión de Infraestructura Gubernamental,34,NO DISTRIBUIBLE GEOGRAFICAMENTE,62117874,8873982,8873982,8873982,8873982,8873982,8873982,0,0,13,Marina,216,Dirección General de Servicios Generales e Hidrográficos,01/01/2014,31/12/2022,Vigente,8873982,0
'13096520013,39366,Modernización de la carretera Fresnillo-Jerez.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,32,ZACATECAS,1017558283,218135951,258583237,153048994,16663840,148984579,119404673,0,0,9,Comunicaciones y Transportes,652,Centro SCT Zacatecas,01/08/2013,31/12/2022,Vigente,102737009,0
'13132110006,39487,Construcción de Embarcaciones para Transporte de Personal,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,34,NO DISTRIBUIBLE GEOGRAFICAMENTE,459570332,0,76595056,153190110,153190110,0,0,0,0,13,Marina,211,Dirección General de Construcciones Navales,01/01/2014,31/12/2022,Vigente,76595056,0
'13132110008,39503,Construcción de Buques Patrulla Costera,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,34,NO DISTRIBUIBLE GEOGRAFICAMENTE,3977847347,950842947,249319266,249319266,104977472,190178401,12002349,0,0,13,Marina,211,Dirección General de Construcciones Navales,01/01/2014,31/12/2022,Vigente,2221207646,0
'13132110010,39507,Construcción de Buques Tanque Auxiliar,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,34,NO DISTRIBUIBLE GEOGRAFICAMENTE,450010256,0,112502564,112502564,112502564,0,0,0,0,13,Marina,211,Dirección General de Construcciones Navales,01/01/2014,31/12/2022,Vigente,112502564,0
'13132110011,39508,Construcción de Buques Remolcadores de Altura,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,34,NO DISTRIBUIBLE GEOGRAFICAMENTE,1208921128,0,302230282,302230282,302230282,0,0,0,0,13,Marina,211,Dirección General de Construcciones Navales,01/01/2014,31/12/2022,Vigente,302230282,0
'13093110003,39698,Ampliación Línea 12  Mixcoac - Observatorio.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,9,CIUDAD DE MÉXICO,11481235178,2578938018,2000000000,498526779,1725447526,990890499,354528424,365116440,0,9,Comunicaciones y Transportes,311,Dirección General de Desarrollo Ferroviario y Multimodal,01/09/2013,31/12/2023,Vigente,2967787492,0
'14096460006,39793,Agua Prieta  Bavispe.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,26,SONORA,534427304,32000931,89500000,33109480,41727447,0,0,45089446,293000000,9,Comunicaciones y Transportes,646,Centro SCT Sonora,01/07/2014,31/12/2023,Vigente,293000000,0
'13165120002,39929,Sustentabilidad e Integralidad Operativa de la SEMARNAT.,Proyecto de Inversión de Inmuebles,4,Proyecto de Inversión de Inmuebles,9,CIUDAD DE MÉXICO,3634414707,476841798,177543293,205044854,240741915,252540092,249445842,1827256913,205000000,16,Medio Ambiente y Recursos Naturales,512,"Dirección General de Recursos Materiales, Inmuebles y Servicios",01/08/2014,31/07/2034,Vigente,205000000,0
'1318T4M0052,40049,"Calidad de los Combustibles fase diésel para las refinerías de Madero, Minatitlán, Salamanca, Salina Cruz y Tula",Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,35,NACIONAL,58611096317,6813746812,11155723624,52463099,821658790,625145135,4099760931,17258293021,0,52,Petróleos Mexicanos,T9M,Pemex Transformación Industrial,01/08/2013,31/12/2024,Vigente,0,17784304905
'13096440027,41242,Damian Carmona - El Aguacate.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,24,SAN LUIS POTOSI,35969775,5151804,1000000,0,0,0,11413885,0,0,9,Comunicaciones y Transportes,644,Centro SCT San Luis Potosí,01/01/2014,31/12/2022,Vigente,18404086,0
'1416B000025,41248,"PROYECTO DE RIEGO CON POZOS PUERTO MEXICO.  MUNICIPIO DE SAN AGUSTIN TLAXIACA, HIDALGO",Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,13,HIDALGO,52197397,20241754,9989598,0,0,122727,0,0,0,16,Medio Ambiente y Recursos Naturales,B00,Comisión Nacional del Agua,01/01/2015,31/12/2022,Vigente,21843318,0
'14096520020,41417,El Vinatero - Nuevo Mercurio.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,32,ZACATECAS,330293007,59846930,83780969,5585398,0,5557183,6284970,85456588,0,9,Comunicaciones y Transportes,652,Centro SCT Zacatecas,01/06/2014,31/12/2023,Vigente,83780969,0
'14096520021,41425,El Salitre - Gpe. Garzaron - Ciénega De Rocamontes - E.C. Zac. /Saltillo,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,32,ZACATECAS,192178844,33023734,47993049,300991,0,12994210,9919598,45953344,0,9,Comunicaciones y Transportes,652,Centro SCT Zacatecas,01/06/2014,31/12/2023,Vigente,41993918,0
'14096320002,41619,Modernizacion De E.C. (Tlapa Marquelia)-Capulín Chocolate.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,12,GUERRERO,23996524,0,1000000,0,0,0,0,0,0,9,Comunicaciones y Transportes,632,Centro SCT Guerrero,01/01/2014,31/12/2022,Vigente,22996524,0
'1416B000002,41808,"Construcción del Canal Centenario, Nayarit.",Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,18,NAYARIT,8830396770,989774775,1983001169,683347839,2602755,107774766,427091786,2324403680,1712350000,16,Medio Ambiente y Recursos Naturales,B00,Comisión Nacional del Agua,01/01/2014,31/12/2024,Vigente,2312400000,0
'1418T4N0009,42051,"Adquisición de equipos y rehabilitación de las plantas de proceso, servicios auxiliares e infraestructura complementaria para  la continuidad operativa del CPG Poza Rica",Otros Programas de Inversión,10,Otros Programas de Inversión,30,VERACRUZ,342219647,42948350,76000000,80573997,0,69563395,2361521,0,0,52,Petróleos Mexicanos,T9M,Pemex Transformación Industrial,01/01/2015,31/12/2022,Vigente,0,70772384
'14096360032,42246,Libramiento Zinapecuaro.,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,16,MICHOACAN,51314444,5503866,18447305,3728836,0,0,577504,0,0,9,Comunicaciones y Transportes,636,Centro SCT Michoacán,01/05/2014,31/12/2022,Vigente,23056933,0
'14132160011,42254,Adquisición de aeronaves para operaciones sustantivas,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,9,CIUDAD DE MÉXICO,6872230319,241095734,516820963,569127465,542187529,561021466,396391465,3528730348,358620000,13,Marina,216,Dirección General de Servicios Generales e Hidrográficos,01/07/2014,31/12/2029,Vigente,516855349,0
'14132160017,42448,Adquisición de una aeronave para operaciones de transporte,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,9,CIUDAD DE MÉXICO,803524905,110955700,52771221,55722701,52766890,63308938,58292863,356933036,36090000,13,Marina,216,Dirección General de Servicios Generales e Hidrográficos,01/07/2014,31/12/2029,Vigente,52773556,0
'18096450003,42513,Ipucha-El Sabino,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,25,SINALOA,68691575,0,32710274,0,0,0,0,0,0,9,Comunicaciones y Transportes,645,Centro SCT Sinaloa,01/03/2018,31/12/2022,Vigente,35981301,0
'14071320011,42626,ADQUISICIÓN DE ACTIVOS DE ENTRENAMIENTO PARA LA ESCUELA MILITAR DE AVIACIÓN,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,14,JALISCO,3281511662,478933424,221800345,221800345,221800345,221800345,221800345,1471776168,148390000,7,Defensa Nacional,132,Comandancia de la Fuerza Aérea Mexicana,01/08/2014,31/12/2029,Vigente,221800345,0
'1508I000003,42653,"Estudio de Factibilidad Técnica, Económica y Social, Proyecto Ejecutivo y Manifestación de Impacto Ambiental en el sistema lagunar Huizache-Caimanero",Programa de Estudios de Preinversión,11,Programa de Estudios de Preinversión,25,SINALOA,24500000,0,7930602,0,0,0,0,0,0,8,Agricultura y Desarrollo Rural,I00,Comisión Nacional de Acuacultura y Pesca,01/08/2015,31/12/2022 01:00,En Proceso de Modificación,16569398,0
'14071320009,42703,"ADQUISICIÓN DE ACTIVOS PARA OPERACIONES AÉREAS DE LOS ESCUADRONES AÉREOS 201, 203 Y 204",Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,35,NACIONAL,8085219649,1146524821,549174261,549174261,549174261,549174261,549174261,3643649262,362780000,7,Defensa Nacional,132,Comandancia de la Fuerza Aérea Mexicana,01/08/2014,31/12/2029,Vigente,549174261,0
'1450GYR0099,42715,Ampliación y Remodelación de Quirófanos y Área de Terapia Intensiva Postquirúrgica del Hospital de Cardiología del Centro Médico Nacional Siglo XXI.,Proyecto de Inversión de Infraestructura Social,2,Proyecto de Inversión de Infraestructura Social,9,CIUDAD DE MÉXICO,227047185,5258818,41014692,17639082,15204,7048008,23268756,0,132802625,50,Instituto Mexicano del Seguro Social,GYR,Instituto Mexicano del Seguro Social,01/08/2015,31/12/2022,Vigente,0,132802625
'14071320010,42732,ADQUISICIÓN DE ACTIVOS PARA ACTIVIDADES DE TRANSPORTE PARA EL E.A 301.,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,15,ESTADO DE MEXICO,2115316871,226075613,148557680,148557680,148557680,148557680,148557680,997895178,109290000,7,Defensa Nacional,132,Comandancia de la Fuerza Aérea Mexicana,01/08/2014,31/12/2029,Vigente,148557680,0
'14132160036,42781,Adquisición de activos para actividades de apoyo logístico,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,9,CIUDAD DE MÉXICO,954457708,131507950,62440010,67016617,67016617,75905842,66453864,421678175,42750000,13,Marina,216,Dirección General de Servicios Generales e Hidrográficos,01/08/2014,31/12/2029,Vigente,62438633,0
'14132160016,43021,Adquisición de activos para actividades sustantivas,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,35,NACIONAL,2373790912,116400862,172051009,185134501,172094524,189313355,186537160,1180231897,117520000,13,Marina,216,Dirección General de Servicios Generales e Hidrográficos,01/06/2014,31/12/2029,Vigente,172027604,0
'1516B000009,43041,"Programa de Estudios de inundaciones fluviales para las ciudades medias del país, primera etapa.",Programa de Estudios de Preinversión,11,Programa de Estudios de Preinversión,35,NACIONAL,47948907,13371259,8644412,0,0,0,0,17288824,0,16,Medio Ambiente y Recursos Naturales,B00,Comisión Nacional del Agua,01/08/2014,31/12/2024,Vigente,8644412,0
'14093110010,43507,Sistema de Transporte Férreo Suburbano en la Zona Oriente del Valle de México: Chalco- Santa Marta,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,9; 15,CIUDAD DE MÉXICO; ESTADO DE MEXICO,17852840783,0,6001490332,1386782354,28391077,0,0,3563797947,0,9,Comunicaciones y Transportes,311,Dirección General de Desarrollo Ferroviario y Multimodal,01/08/2014,31/12/2023,Vigente,6872379073,0
'1416B000146,43567,Proyecto hidrológico para proteger a la población de inundaciones y aprovechar mejor el agua en el estado de Tabasco (PROHTAB).,Proyecto de Inversión de Infraestructura Económica,1,Proyecto de Inversión de Infraestructura Económica,27,TABASCO,20614243836,1445391834,425791546,165600979,236558497,19880977,333960486,14215159517,2321940000,16,Medio Ambiente y Recursos Naturales,B00,Comisión Nacional del Agua,01/03/2015,31/12/2024,Vigente,3771900000,0
'14071320013,43718,ADQUISICIÓN DE ACTIVOS PARA ACTIVIDADES SUSTANTIVAS DE ERRADICACIÓN POR ASPERSIÓN,Programa de Inversión de Adquisiciones,6,Programa de Inversión de Adquisiciones,35,NACIONAL,2097689241,309297231,140614084,140614084,140614084,140614084,140614084,944707506,95600000,7,Defensa Nacional,132,Comandancia de la Fuerza Aérea Mexicana,01/08/2014,31/12/2029,Vigente,140614084,0
